,City,Movehub Rating,Purchase Power,Health Care,Pollution,Quality of Life,Crime Rating,lat,lng,continent
153,Asheville,83.17,70.51,79.02,30.55,81.34,30.21,35.5950581,-82.5514869,America
154,Rochester,82.07,60.78,68.6,31.6,78.05,30.21,43.15657789999999,-77.6088465,Europe
155,Indianapolis,84.52,80.72,36.66,82.08,77.13,30.21,39.768403,-86.158068,America
156,Newark,84.97,84.39,79.72,62.14,73.21,30.21,40.735657,-74.1723667,America
157,Vancouver,82.59,48.06,83.73,18.48,71.89,30.03,49.282729100000005,-123.1207375,America
158,The Hague,83.23,68.28,66.74,37.21,79.99,29.76,52.07049779999999,4.300699900000001,Europe
159,Amsterdam,84.0,47.18,68.06,53.42,72.85,29.76,52.3675734,4.9041389,Europe
160,Utrecht,79.7,49.87,70.9,18.27,72.61,29.76,52.09073739999999,5.121420099999999,Europe
161,Calgary,85.77,63.9,75.33,23.53,87.57,29.53,51.04473309999999,-114.0718831,America
162,Leeds,82.57,63.88,81.48,18.48,78.06,28.91,53.8007554,-1.5490774,Europe
163,Liverpool,81.23,53.78,82.86,55.35,83.14,28.7,32.6564981,-115.47632409999999,Australia
164,Basel,84.2,78.17,79.74,59.18,88.27,28.12,47.5595986,7.5885761,Europe
165,Vilnius,72.45,24.17,77.31,82.08,64.19,27.93,54.6871555,25.2796514,Europe
166,Frankfurt,82.75,62.6,65.33,14.54,88.04,27.55,50.1109221,8.6821267,Error
167,Vienna,81.84,51.21,79.86,22.39,77.21,27.45,48.208174299999996,16.3738189,Europe
168,Toronto,88.42,61.44,66.11,8.95,77.02,27.4,43.653226000000004,-79.3831843,America
169,Wellington,81.06,49.11,73.72,30.55,79.83,27.38,-41.2768778,174.7731458,Europe
170,Doha,90.73,81.96,68.06,83.45,80.28,27.17,25.2854473,51.53103979999999,Asia
171,Cologne,82.18,59.18,67.88,68.41,82.82,27.08,50.937531,6.9602786,Error
172,Minsk,68.41,16.14,50.0,66.89,51.66,26.82,53.9006011,27.558971999999997,Europe
173,Valencia,81.06,49.11,72.07,35.24,64.89,26.04,28.521792200000004,-81.46357669999998,Europe
174,Addis Ababa,59.88,6.38,63.89,85.59,28.41,26.04,8.9806034,38.757760499999996,Africa
175,Izmir,76.07,32.12,57.33,30.55,42.9,25.91,38.423734,27.142826,Europe
176,Stockholm,82.85,51.03,82.5,13.93,78.58,25.62,59.329323499999994,18.068580800000003,Europe
177,Gothenburg,74.63,26.95,68.24,92.42,71.51,25.62,57.70887,11.97456,Error
178,Hamburg,84.66,61.13,82.41,67.78,87.18,25.52,53.5510846,9.9936819,Europe
179,Nashville,80.61,80.3,60.3,0.0,80.5,25.5,36.1626638,-86.78160159999999,America
180,Aberdeen,81.89,49.7,82.86,34.31,76.77,24.22,57.149717,-2.094278,Europe
181,Leicester,83.36,71.88,60.64,18.04,76.19,24.22,52.63687779999999,-1.1397591999999999,Europe
182,Oxford,80.94,50.33,66.2,11.48,72.09,24.22,51.7520209,-1.2577263,Europe
183,Cambridge,82.15,54.76,81.48,57.18,70.61,24.22,42.373615799999996,-71.10973349999998,America
184,Manchester,81.89,62.31,61.42,0.0,73.0,24.2,53.4807593,-2.2426305,Europe
185,Berlin,89.54,68.72,65.48,16.05,91.17,24.18,52.52000659999999,13.404954,Europe
186,Stuttgart,82.48,65.82,80.38,16.89,90.4,23.96,48.7758459,9.1829321,Europe
187,Limassol,78.3,40.13,77.6,26.74,74.83,23.75,34.7071301,33.0226174,Asia
188,Ottawa,87.69,91.85,66.02,33.55,86.11,22.25,45.42152960000001,-75.69719309999998,America
189,Sliema,81.05,52.84,72.22,67.78,65.03,22.19,35.911008100000004,14.502904000000001,Error
